,Unnamed: 0,created_at,author_id,id,text,casefolding,tokenizing,tokens_fdist,tweet_tokens_WSW,tweet_tokens_stemmed
0,0,2022-04-12T07:36:24.000Z,1208623711311421441,1513783073930100741,"@democrazymedia Percayalah pung ,aroganmu akan ada balasannya,Jokowi memang tidak terdata korupsi tapi aparaturnya juara,ini era Jokowi pung bukan di era SBY🙏.","@democrazymedia percayalah pung ,aroganmu akan ada balasannya,jokowi memang tidak terdata korupsi tapi aparaturnya juara,ini era jokowi pung bukan di era sby🙏.","['percayalah', 'pung', 'aroganmu', 'akan', 'ada', 'balasannyajokowi', 'memang', 'tidak', 'terdata', 'korupsi', 'tapi', 'aparaturnya', 'juaraini', 'era', 'jokowi', 'pung', 'bukan', 'di', 'era', 'sby']",<FreqDist with 18 samples and 20 outcomes>,"['percayalah', 'aroganmu', 'balasannyajokowi', 'terdata', 'korupsi', 'aparaturnya', 'juaraini', 'era', 'jokowi', 'era', 'sby']","['percaya', 'arogan', 'balasannyajokowi', 'data', 'korupsi', 'aparatur', 'juaraini', 'era', 'jokowi', 'era', 'sby']"
1,1,2022-04-12T07:36:04.000Z,1484365795853762560,1513782992703213571,@ariandi6031 Jokowi juga disebut senang melihat sudah,@ariandi6031 jokowi juga disebut senang melihat sudah,"['jokowi', 'juga', 'disebut', 'senang', 'melihat', 'sudah']",<FreqDist with 6 samples and 6 outcomes>,"['jokowi', 'senang']","['jokowi', 'senang']"
2,2,2022-04-12T07:35:59.000Z,1485483913728630784,1513782970066554883,@ariandi6031 menyebut Presiden Joko Widodo (Jokowi),@ariandi6031 menyebut presiden joko widodo (jokowi),"['menyebut', 'presiden', 'joko', 'widodo', 'jokowi']",<FreqDist with 5 samples and 5 outcomes>,"['menyebut', 'presiden', 'joko', 'widodo', 'jokowi']","['sebut', 'presiden', 'joko', 'widodo', 'jokowi']"
3,3,2022-04-12T07:35:58.000Z,1100628763065217024,1513782965364408320,@PartaiSocmed @jokowi Memaksakan proyek mercusuar disaat terjadi krisis. Hmm kok mirip hari2 terakhirnya Soekarno ya 🤔,@partaisocmed @jokowi memaksakan proyek mercusuar disaat terjadi krisis. hmm kok mirip hari2 terakhirnya soekarno ya 🤔,"['memaksakan', 'proyek', 'mercusuar', 'disaat', 'terjadi', 'krisis', 'hmm', 'kok', 'mirip', 'hari', 'terakhirnya', 'soekarno', 'ya']",<FreqDist with 13 samples and 13 outcomes>,"['memaksakan', 'proyek', 'mercusuar', 'disaat', 'krisis', 'hmm', 'terakhirnya', 'soekarno']","['paksa', 'proyek', 'mercusuar', 'saat', 'krisis', 'hmm', 'akhir', 'soekarno']"
4,4,2022-04-12T07:35:52.000Z,1499073498483884033,1513782940479602691,Siap dukung Pembangunan IKN #IKN #Jokowi #Indonesia https://t.co/kIa7uokMWw,siap dukung pembangunan ikn #ikn #jokowi #indonesia https://t.co/kia7uokmww,"['siap', 'dukung', 'pembangunan', 'ikn']",<FreqDist with 4 samples and 4 outcomes>,"['dukung', 'pembangunan', 'ikn']","['dukung', 'bangun', 'ikn']"
5,5,2022-04-12T07:35:49.000Z,570130322,1513782927045591047,@AAPurba1 Gak ada yg mau turunkan itu. Sebodoh2nya org mana mau oak jokowi turun. Hehehhr..... provokasi nih ye.,@aapurba1 gak ada yg mau turunkan itu. sebodoh2nya org mana mau oak jokowi turun. hehehhr..... provokasi nih ye.,"['gak', 'ada', 'yg', 'mau', 'turunkan', 'itu', 'sebodohnya', 'org', 'mana', 'mau', 'oak', 'jokowi', 'turun', 'hehehhr', 'provokasi', 'nih', 'ye']",<FreqDist with 16 samples and 17 outcomes>,"['turunkan', 'sebodohnya', 'org', 'oak', 'jokowi', 'turun', 'hehehhr', 'provokasi', 'ye']","['turun', 'bodoh', 'org', 'oak', 'jokowi', 'turun', 'hehehhr', 'provokasi', 'ye']"
6,6,2022-04-12T07:35:47.000Z,1190358136604872704,1513782921911758854,"@RadarKorupsi @jokowi Yg ngomong menteri2 utama senior dia, yg dukung partai koalisi dia, yg bikin ulah kepala2 desa se Indonesia yg dia undang k Jkt, yg mewacanakan orang2 dia, terus giliran memanas yg d salahkan rakyat n masyarakat yg demo dia.. 

Negara lucu syekali. Terus msh aj ada yg bela dia..","@radarkorupsi @jokowi yg ngomong menteri2 utama senior dia, yg dukung partai koalisi dia, yg bikin ulah kepala2 desa se indonesia yg dia undang k jkt, yg mewacanakan orang2 dia, terus giliran memanas yg d salahkan rakyat n masyarakat yg demo dia.. 

negara lucu syekali. terus msh aj ada yg bela dia..","['yg', 'ngomong', 'menteri', 'utama', 'senior', 'dia', 'yg', 'dukung', 'partai', 'koalisi', 'dia', 'yg', 'bikin', 'ulah', 'kepala', 'desa', 'se', 'indonesia', 'yg', 'dia', 'undang', 'jkt', 'yg', 'mewacanakan', 'orang', 'dia', 'terus', 'giliran', 'memanas', 'yg', 'salahkan', 'rakyat', 'masyarakat', 'yg', 'demo', 'dia', 'negara', 'lucu', 'syekali', 'terus', 'msh', 'aj', 'ada', 'yg', 'bela', 'dia']",<FreqDist with 33 samples and 46 outcomes>,"['ngomong', 'menteri', 'utama', 'senior', 'dukung', 'partai', 'koalisi', 'ulah', 'kepala', 'desa', 'indonesia', 'undang', 'jkt', 'mewacanakan', 'orang', 'giliran', 'memanas', 'salahkan', 'rakyat', 'masyarakat', 'demo', 'negara', 'lucu', 'syekali', 'msh', 'aj', 'bela']","['ngomong', 'menteri', 'utama', 'senior', 'dukung', 'partai', 'koalisi', 'ulah', 'kepala', 'desa', 'indonesia', 'undang', 'jkt', 'wacana', 'orang', 'gilir', 'panas', 'salah', 'rakyat', 'masyarakat', 'demo', 'negara', 'lucu', 'syekali', 'msh', 'aj', 'bela']"
7,7,2022-04-12T07:35:46.000Z,1326215588532809728,1513782916597579781,"@jokowi @DPR_RI @mprgoid @DivHumas_Polri  Pemerintah harus tegas untuk memajukan suatu negara, diperlukan kedisiplinan dan ketegasan. Jangan sampai pemerintah hilang wibawa terhadap apapun, karena itu celah suatu negara yg dianggap lemah.
#BersamaPastiBisa","@jokowi @dpr_ri @mprgoid @divhumas_polri  pemerintah harus tegas untuk memajukan suatu negara, diperlukan kedisiplinan dan ketegasan. jangan sampai pemerintah hilang wibawa terhadap apapun, karena itu celah suatu negara yg dianggap lemah.
#bersamapastibisa","['ri', 'polri', 'pemerintah', 'harus', 'tegas', 'untuk', 'memajukan', 'suatu', 'negara', 'diperlukan', 'kedisiplinan', 'dan', 'ketegasan', 'jangan', 'sampai', 'pemerintah', 'hilang', 'wibawa', 'terhadap', 'apapun', 'karena', 'itu', 'celah', 'suatu', 'negara', 'yg', 'dianggap', 'lemah']",<FreqDist with 25 samples and 28 outcomes>,"['ri', 'polri', 'pemerintah', 'memajukan', 'negara', 'kedisiplinan', 'ketegasan', 'pemerintah', 'hilang', 'wibawa', 'apapun', 'celah', 'negara', 'dianggap', 'lemah']","['ri', 'polri', 'perintah', 'maju', 'negara', 'disiplin', 'tegas', 'perintah', 'hilang', 'wibawa', 'apa', 'celah', 'negara', 'anggap', 'lemah']"
8,8,2022-04-12T07:35:46.000Z,1305651550497382400,1513782915901292549,@hasyim_arbi @Ayah_angga_ Kamu bego emang nya selama ada Jokowi Indonesia maju?gk lh,@hasyim_arbi @ayah_angga_ kamu bego emang nya selama ada jokowi indonesia maju?gk lh,"['arbi', 'angga', 'kamu', 'bego', 'emang', 'nya', 'selama', 'ada', 'jokowi', 'indonesia', 'majugk', 'lh']",<FreqDist with 12 samples and 12 outcomes>,"['arbi', 'angga', 'bego', 'emang', 'jokowi', 'indonesia', 'majugk', 'lh']","['arbi', 'angga', 'bego', 'emang', 'jokowi', 'indonesia', 'majugk', 'lh']"
9,9,2022-04-12T07:35:42.000Z,18129942,1513782900877295620,Jokowi resmi melantik 7 anggota Komisi Pemilihan Umum (KPU) dan 5 anggota Badan Pengawas Pemilu (Bawaslu) periode 2022-2027. #TempoNasional https://t.co/NocBEhPlcr,jokowi resmi melantik 7 anggota komisi pemilihan umum (kpu) dan 5 anggota badan pengawas pemilu (bawaslu) periode 2022-2027. #temponasional https://t.co/nocbehplcr,"['jokowi', 'resmi', 'melantik', 'anggota', 'komisi', 'pemilihan', 'umum', 'kpu', 'dan', 'anggota', 'badan', 'pengawas', 'pemilu', 'bawaslu', 'periode']",<FreqDist with 14 samples and 15 outcomes>,"['jokowi', 'resmi', 'melantik', 'anggota', 'komisi', 'pemilihan', 'kpu', 'anggota', 'badan', 'pengawas', 'pemilu', 'bawaslu', 'periode']","['jokowi', 'resmi', 'lantik', 'anggota', 'komisi', 'pilih', 'kpu', 'anggota', 'badan', 'awas', 'milu', 'bawaslu', 'periode']"
